Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Disponibles para la venta [El Guante],Precio [El Guante],En inventario [El Guante],Existencias bajas [El Guante]
jabon-pan-bco-argentino,10025,JABON PAN BCO ARGENTINO,LIMPIEZA Y DESINFECCIÓN,,N,,,,,,,589.00,,,,Y,Y,1100.00,9.000,0.000
jabon-tocador-argentino,10029,JABON TOCADOR ARGENTINO,LIMPIEZA Y DESINFECCIÓN,,N,,,,,,,985.00,,,,Y,Y,1900.00,5.000,0.000
jabon-tocador-cupido,10026,JABON TOCADOR CUPIDO,LIMPIEZA Y DESINFECCIÓN,,N,,,,,,,1097.00,,,,Y,Y,1900.00,3.000,0.000
jabonera-c/tapa,10211,JABONERA C/TAPA,VARIOS,,N,,,,,,,404.00,,,,Y,Y,1000.00,2.000,0.000
lampazo/-mopa-amarillo-tiritas,10085,LAMPAZO/ MOPA AMARILLO TIRITAS,SECADORES Y SOPAPAS,,N,,,,,,,1890.00,,,,Y,Y,3500.00,2.000,0.000
lavandina,10017,LAVANDINA,LIMPIEZA Y DESINFECCIÓN,,Y,,,,,,,127.07,,,,Y,Y,500.00,50.000,0.000
lavandina-en-gel,10010,LAVANDINA EN GEL,LIMPIEZA Y DESINFECCIÓN,,Y,,,,,,,420.13,,,,Y,Y,1500.00,50.000,10.000
lavavajilla-ecomax,10023,LAVAVAJILLA ECOMAX,LIMPIEZA Y DESINFECCIÓN,,N,,,,,,,1209.00,,,,Y,Y,2600.00,3.000,0.000
lavavaquero-cep-lavado,10072,LAVAVAQUERO CEP LAVADO,CEPILLOS,,N,,,,,,,1117.00,,,,Y,Y,2300.00,2.000,0.000
lavazapatillas-sina-c/-mango,10071,LAVAZAPATILLAS SINA C/ MANGO,CEPILLOS,,N,,,,,,,1733.00,,,,Y,Y,3400.00,3.000,0.000
limpia-tapizados-rg2,10225,LIMPIA TAPIZADOS RG2,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,1660.00,,,,Y,Y,3200.00,12.000,
limpia-vidrios-liquido,10037,LIMPIA VIDRIOS LIQUIDO,LIMPIEZA Y DESINFECCIÓN,,Y,,,,,,,970.00,,,,Y,Y,2000.00,20.000,0.000
limpiador-adherente-lavanda,10030,LIMPIADOR ADHERENTE LAVANDA,LIMPIEZA Y DESINFECCIÓN,,N,,,,,,,839.00,,,,Y,Y,1600.00,3.000,0.000
limpiador-cremoso-idefix,10032,LIMPIADOR CREMOSO IDEFIX,LIMPIEZA Y DESINFECCIÓN,,N,,,,,,,1701.00,,,,Y,Y,4500.00,12.000,0.000
limpiador-cremoso-sahning,10219,LIMPIADOR CREMOSO SAHNING,LIMPIEZA Y DESINFECCIÓN,,N,,,,,,,1672.80,,,,Y,Y,3400.00,5.000,0.000
limpiavidrios-x-30-cm,10083,LIMPIAVIDRIOS X 30 CM,SECADORES Y SOPAPAS,,N,,,,,,,2754.00,,,,Y,Y,5300.00,3.000,0.000
microfibra,10108,MICROFIBRA,ESPONJAS Y TRAPOS,,N,,,,,,,1340.00,,,,Y,Y,2600.00,10.000,0.000
mopa-repuesto-redondo,10084,MOPA REPUESTO REDONDO,SECADORES Y SOPAPAS,,N,,,,,,,2500.00,,,,Y,Y,5000.00,4.000,0.000
multimax-desinfectante,10033,MULTIMAX DESINFECTANTE,LIMPIEZA Y DESINFECCIÓN,,N,,,,,,,400.00,,,,Y,Y,1300.00,4.000,0.000
naftalina-colores-mingitorios,10021,NAFTALINA COLORES MINGITORIOS,LIMPIEZA Y DESINFECCIÓN,,N,,,,,,,962.00,,,,Y,Y,1900.00,7.000,0.000
naftalina-eco-200-g,10020,NAFTALINA ECO 200 G,LIMPIEZA Y DESINFECCIÓN,,N,,,,,,,733.00,,,,Y,Y,1500.00,6.000,0.000
naftalina-perfumada,10022,NAFTALINA PERFUMADA,LIMPIEZA Y DESINFECCIÓN,,N,,,,,,,806.00,,,,Y,Y,1600.00,10.000,0.000
ovillitos-medium-sina,10121,OVILLITOS MEDIUM SINA,ESPONJAS Y TRAPOS,,N,,,,,,,391.00,,,,Y,Y,1000.00,10.000,0.000
pala-plast-mano-c/goma-y-acople,10127,PALA PLAST MANO C/GOMA Y ACOPLE,PLASTICOS,,N,,,,,,,924.00,,,,Y,Y,1800.00,4.000,0.000
pala-plast-mano-roma-c/-acople,10126,PALA PLAST MANO ROMA C/ ACOPLE,PLASTICOS,,N,,,,,,,729.00,,,,Y,Y,1500.00,5.000,0.000
pala-reforzada-c/cabo-sina,10128,PALA REFORZADA C/CABO SINA,PLASTICOS,,N,,,,,,,2325.00,,,,Y,Y,4700.00,2.000,0.000
pala-reforzada-c/cabo-y-goma,10129,PALA REFORZADA C/CABO Y GOMA,PLASTICOS,,N,,,,,,,2964.00,,,,Y,Y,5900.00,5.000,0.000
palo-rosca-pino-eco,10064,PALO ROSCA PINO ECO,ESCOBAS,,N,,,,,,,996.00,,,,Y,Y,1900.00,10.000,0.000
paño-amarillo-extra,10106,PAÑO AMARILLO EXTRA,ESPONJAS Y TRAPOS,,N,,,,,,,1500.00,,,,Y,Y,2900.00,2.000,0.000
paño-amarillo-sina-premium-40-x-38,10104,PAÑO AMARILLO SINA PREMIUM 40 X 38,ESPONJAS Y TRAPOS,,N,,,,,,,340.00,,,,Y,Y,700.00,10.000,0.000
paño-azul-sina-premium-40-x-38,10105,PAÑO AZUL SINA PREMIUM 40 X 38,ESPONJAS Y TRAPOS,,N,,,,,,,340.00,,,,Y,Y,700.00,2.000,0.000
paño-piso-añarillo-sina-50-x-56,10099,PAÑO PISO AMARILLO SINA 50 X 56,ESPONJAS Y TRAPOS,,N,,,,,,,845.00,,,,Y,Y,1600.00,3.000,0.000
papel-hig-100-mts,10176,PAPEL HIG 100 MTS,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,866.00,,,,Y,Y,1300.00,20.000,0.000
papel-higienico-x-30-mts-gamuza,10175,PAPEL HIG 30 MTS X 4 GAMUZA,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,1022.00,,,,Y,Y,1800.00,12.000,0.000
papel-hig-80-mts-gamuza,10174,PAPEL HIG 80 MTS X 4 GAMUZA,AERO INSECTICIDAS Y PAPELERIA,,N,,,,,,,2108.00,,,,Y,Y,3900.00,10.000,0.000
pasacera-plastico-nro1,10063,PASACERA PLASTICO NRO1,ESCOBAS,,N,,,,,,,1070.00,,,,Y,Y,2100.00,3.000,0.000
perfumina-suelta,10181,PERFUMINA SUELTA,PERFUMINAS / AROMA HOGAR,,N,,,,,,,1500.00,,,,Y,Y,3000.00,10.000,0.000
perla-escob-sina,10051,PERLA ESCOB SINA,ESCOBAS,,N,,,,,,,1564.00,,,,Y,Y,3400.00,4.000,0.000
piedras-sanitarias,10196,PIEDRAS SANITARIAS,MASCOTAS,,Y,,,,,,,500.00,,,,Y,Y,2000.00,25.000,
plateada-acero-kitchen,10113,PLATEADA ACERO KITCHEN,ESPONJAS Y TRAPOS,,N,,,,,,,576.00,,,,Y,Y,1200.00,8.000,0.000
plateada-acero-sina-combinada,10112,PLATEADA ACERO SINA COMBINADA,,,N,,,,,,,694.00,,,,Y,Y,1500.00,5.000,0.000
plateada-acero-sina-large-30-gr,10110,PLATEADA ACERO SINA LARGE 30 GR,ESPONJAS Y TRAPOS,,N,,,,,,,634.00,,,,Y,Y,1300.00,10.000,0.000
plateada-acero-sina-medium-15-gr,10111,PLATEADA ACERO SINA MEDIUM 15 GR,ESPONJAS Y TRAPOS,,N,,,,,,,287.00,,,,Y,Y,700.00,10.000,0.000
plumero-lana-multicolor,10061,PLUMERO LANA MULTICOLOR,ESCOBAS,,N,,,,,,,2409.00,,,,Y,Y,4800.00,0.000,0.000
plumero-techo-pluma,10062,PLUMERO TECHO PLUMA,ESCOBAS,,N,,,,,,,6409.00,,,,Y,Y,13000.00,0.000,0.000
porta-papel-higienico,10200,PORTA PAPEL HIGIENICO,VARIOS,,N,,,,,,,1340.00,,,,Y,Y,2400.00,2.000,0.000
porta-tableta-economico,10220,PORTA TABLETA ECONOMICO,VARIOS,,N,,,,,,,3166.00,,,,Y,Y,5200.00,4.000,0.000
protector-cortina-eco,10213,PROTECTOR CORTINA ECO,VARIOS,,N,,,,,,,1114.00,,,,Y,Y,2500.00,1.000,0.000
